idx,photo_id,file,time,query,status
162,90e9b3a9-91fe-4953-8072-5a1afcaf0a17,IMG_5806.jpg,2026-02-14T15:38,Canada goose swimming in river near wooden boat numbered 021 and stone bridge,ok
163,916a4332-4ffd-40d6-aaee-702b09dfa248,50.jpg,2026-07-11T00:34,"Night street with double yellow lines, brick building with mesh windows, and distant tower block",ok
164,92e3c2c5-733d-4ac6-af00-4bae72c74c23,IMG_5335.jpg,2026-01-19T11:42,Faint rainbow arching over brown tundra hills with scattered snow patches and roadside puddle,ok
165,932e7fea-9bcb-41be-9c27-d67e94068d14,44.jpg,2026-07-10T22:19,Glowing orange circular button on white device next to wall USB port,ok
166,93a0992c-67f3-42c5-8fe4-57f15fae08d9,IMG_6700.jpg,2026-04-23T16:09,Wide canal view with white motorboat bottom right and red awnings on right bank,ok
167,94a09b2f-b543-4413-a618-b67494e79886,DSCF0106.JPG,2025-12-16T13:05,Man in blue jacket and sunglasses standing before stone pillar engraved with Smolensk and Polotsk,ok
168,950beb2e-3d0a-4526-b893-54b70437240d,IMG_5974.jpg,2026-03-05T22:59,Green soufflé overflowing white ramekin onto dark oven floor with spilled batter,ok
169,9519ef38-0915-4a2d-8b0e-50c0c96daecf,IMG_3640.JPG,2025-09-23T14:36,Low angle view of white lattice dome ceiling over circular balcony with green mural staircase,ok
170,9594e0c7-3d36-4a18-8b85-0783cba560dc,IMG_6757.jpg,2026-04-24T13:06,Large white brain sculpture decorated with colorful flowers on a pedestal reading YOUR BRAIN WHEN YOU BELIEVE IN YOURSELF,ok
171,966a8590-8480-48f3-be1f-f2fa531f6205,IMG_4296.JPG,2025-11-04T18:24,Orange Just Eat mug beside shrimp bowl and celery chicken dish with rice,ok
172,96e87fc2-4510-483b-baf1-e59130560f0d,IMG_3981.JPG,2025-10-13T18:37,Tyrrells chip bag with red pepper graphic beside metal bowl of green yogurt with berries,ok
173,96f4927d-cafd-428c-8dab-4d305cc51094,IMG_2713.JPG,2025-08-13T19:52,"Black cast iron grill with foie gras, red apple slices, and mushroom vegetable skewer",ok
174,973f4d73-23e2-431e-a295-ad940430928c,IMG_6455.jpg,2026-03-30T15:24,"View through rough stone archway showing blue sea, central reddish rock island, pine branches, and gray rectangular box on paved ground",query_generation_error
175,989878b7-1b1e-44cd-b9d5-85c3d640e1cc,IMG_3756.JPG,2025-09-28T15:27,River flowing past green grass bank with fallen log and yellow-green trees,ok
176,9adc667d-70c4-414b-a8b0-c1ae46956129,IMG_3849.JPG,2025-10-05T12:56,"Overhead view of a wooden mixed grill platter featuring a round burger patty, two reddish sausages, chicken wings, skewered meat, and sliced flatbread arranged along the bottom edge.",query_generation_error
177,9bb40500-61de-48f7-bd48-b9802c9a4f3f,27.jpg,2026-07-10T17:10,Low angle shot of smartphone and silver USB hub on wooden desk with bed background,ok
178,9c8b0001-5dfa-40d5-bbf7-07144331be01,gradient.jpg,2023-08-17T09:58,Hard Sudoku puzzle grid with 6 in top row and 8 in bottom right corner,ok
179,9cb1054c-9700-4ce5-baf8-b8852fbbcce8,IMG_3397.JPG,2025-09-14T19:09,Hand holding sandwich in foil wrapper next to open milk bottle on white table,ok
180,9cca0a28-da94-4fbf-ac77-5d47300bf6d2,DSCF0692.JPG,2026-01-19T12:35,Vertical photo of large blue iceberg floating next to dark rocky shore,ok
181,9cce813d-d38b-4430-b2a4-f7ee4b4d978f,IMG_3622.JPG,2025-09-22T15:28,Hand holding green drink with brown paper straw and three cartoon boys on lid,ok
182,9d5f21e9-d447-4079-96f0-41ef8c4c9e24,IMG_4097.JPG,2025-10-18T15:00,White calf with dark rear patch standing before dry stone wall,ok
183,a00ca774-d928-445e-826e-406fce3667de,154.jpg,2026-07-12T21:49,"Silver laptop on black desk mat with hand on mouse, glass of orange juice, and purple-capped water bottle",ok
184,a00e23ae-20d8-438f-9acd-44e402adba2c,IMG_6503.JPG,2026-03-30T12:19,Man in black Adidas sweatpants leaning back on railing with head tilted up,ok
185,a01fe3c8-35f5-4e27-9686-dcdf6eba6e1a,IMG_3587.JPG,2025-09-21T10:57,Rotated stone war memorial cross with red poppy wreaths and people,ok
186,a07cb91f-6679-40b9-bd8a-1e47741b2cbb,138.jpg,2026-07-12T21:32,First-person view of a white wire drying rack held by a right hand near a window with blue twilight light,ok
187,a100d0a7-2046-4260-82ef-8bb2726f31cf,Cambridge_food.jpg,2026-02-25T20:15,Large hollow Yorkshire pudding beside sliced roast meat and carrots on ridged white plate,ok
188,a1728ea2-a57e-4aa4-b94d-1715f10962d6,IMG_3638.JPG,2025-09-23T13:24,Hand holding orange water bottle with white house fork logo and matching flyer,ok
189,a219c543-0d0e-4b2f-a4b8-d066388fdc56,IMG_7248.jpg,2026-07-08T12:53,"High angle view of rocky cliffside with wooden stairs, white canopy platforms over blue sea, and distant mountains",ok
190,a39684ed-7a1e-451c-a671-0c0192d3dc5a,67a8cc4e09c061830f5915fd46954719.JPG,2026-03-05T23:12,Green matcha basque cheesecake with charred top and vertical side cracks on parchment,ok
191,a4b2a865-2d65-4284-a18c-121d35134b46,IMG_3654.JPG,2025-09-24T12:09,"Bowl of red soup with black spoon, fried dough sheet, and cilantro on wood table",ok
192,a69f5dd4-4b4d-4536-978b-6c6bb236b5a3,IMG_6306.jpg,2026-03-30T14:14,"Sandy beach with white waves, rocky island on left horizon, and distant white boat",ok
193,a703a0b4-9f50-44f8-a20d-169a3468b28e,IMG_5331.jpg,2026-01-19T11:42,Faint rainbow arching over brown tundra hills with irregular white snow patches,ok
194,a7074794-6398-4ccc-afec-04e147371c54,IMG_3776.JPG,2025-09-30T08:41,Steaming glass of amber liquid beside seeded bread sandwich on white plate,ok
195,a7b53891-9566-449e-80f5-c0eb72bd1795,DSCF0748.JPG,2026-01-20T10:53,Rotated view of black basalt columns framing distant sea stack and person in yellow,ok
196,a8ad9ea0-2ab7-41c1-ba16-44c32a2f1535,XARA7704.JPG,2025-08-13T21:46,Rotated ninety degrees aerial night view of rainbow illuminated lattice tower,ok
197,a8cc020c-3526-4684-b8ec-bc16f7a3ee7b,IMG_4577.jpg,2025-12-15T14:35,Airplane cabin interior with red ambient lighting and Jet2 Venice overhead bins,ok
198,a8dfd7d7-7f42-4354-b567-6f0e331a87d7,IMG_7176.jpg,2026-07-07T05:02,Hot air balloons at dawn seen through bus window with yellow oval light reflections,ok
199,a8eacbf7-6533-4cc8-b3b7-52c20b6395d2,IMG_7206.jpg,2026-07-07T05:38,Aerial view of rocky fairy chimney landscape with winding road and hot air balloons including one with vertical black stripes,query_generation_error
200,a92c780d-1fa0-46d8-9acd-60d18f30cc45,IMG_4855.jpg,2025-12-18T13:30,Large blue rose window above row of tall narrow stained glass lancet windows,ok
201,aa7b31c3-63c0-4846-b00c-a84adf06963b,DSCF0410.JPG,2025-12-25T13:48,Rotated photo of person wearing navy Stussy Paris sweatshirt facing stone columns,ok
202,ac0e5098-856b-4814-9b3b-84db00511f06,IMG_3963.JPG,2025-10-11T12:12,"Fish counter display with salmon, stacked prawn boxes, and striped lobster tails on ice",ok
203,ac2e92e2-2c06-4c28-be0e-e68256b2859a,IMG_4957.jpg,2025-12-21T15:40,Freezer interior with three-tier dumpling storage rack holding white plates and black tray,ok
204,acd9aff2-bce8-4fab-926c-fbbe9d605408,IMG_3674.JPG,2025-09-26T10:20,Ciabatta sandwich with greens and orange sauce on white plate beside half-full milk glass,ok
205,ace3a3b2-36a2-496e-aade-0ad7e0eff3c9,ECD0127C-9ECF-440A-A512-7B404B4665F6.JPG,2025-12-19T20:03,Low angle night view of golden illuminated Eiffel Tower top against dark cloudy sky,ok
206,ae4ac1f7-b7da-42cb-befa-a3f7cbb9fd81,IMG_6660.jpg,2026-04-22T15:07,(generation failed),query_generation_error
207,af5cea77-d075-444f-966f-9efbe1351259,IMG_7225.jpg,2026-07-07T05:57,Hot air balloons over rocky valley at sunrise with large central balloon displaying DEDEMAN logo,ok
208,af609b8b-e77c-454a-8ae4-afaf750113cc,IMG_5173.jpg,2026-01-10T15:01,Laptop displaying physics equations next to wine bottle and Minibar sign on desk,ok
209,b0830fd9-25a3-4585-9a49-11c0ca9ad1fc,IMG_2686.JPG,2025-08-13T17:14,"Indoor pool with reflective metallic ceiling panels, linear recessed lights, and black wall-mounted jets",ok
210,b0bbea12-0cca-4a09-a7cc-c01460fa8064,IMG_3691.JPG,2025-09-26T17:41,Sliced glossy roasted duck over white rice with chopped green onions and pale cabbage on a round white plate with a metal spoon.,query_generation_error
211,b1e0791a-0134-4ddd-b032-64ddfe3a902d,IMG_4076.JPG,2025-10-18T13:30,Waterfall cascading down rocky cliff with three hikers navigating boulders at base,ok
212,b1f08290-301f-4f01-bd01-49725bd38dfe,IMG_3598.JPG,2025-09-21T12:39,Three-arch stone viaduct over river with white rowboats docked in foreground right,ok
213,b492d93c-f6e1-4d91-b7a8-8a81771898cd,IMG_4261.JPG,2025-10-31T00:46,Open laptop playing video with Chinese subtitles next to red Budweiser can,ok
214,b51c2394-ea9a-4952-bf2f-8a3f4810f956,IMG_3469.JPG,2025-09-17T14:41,White bowl of blackberries in foreground with slice of brown bread on plate behind,ok
215,b68f1138-e08f-400a-bb4a-f221b7414a74,IMG_2700.JPG,2025-08-13T19:02,City skyline at dusk featuring tall pointed glass skyscraper and SPDBANK building above street,ok
216,b74753cf-990c-4a43-bd13-74db0ec49cd4,IMG_2698.JPG,2025-08-13T18:25,Hazy city skyline view through glass window with black Westin logo text,ok
217,b8e20d87-d4ad-4040-a53c-a6ca8464139c,DSCF0538.JPG,2025-12-25T15:42,Rotated vertical street view of stone buildings with red barriers and distant green spire,ok
218,bc259781-fffc-4327-869e-869ed99eb4e5,IMG_3596.JPG,2025-09-21T11:53,Burger with wooden skewer and metal bucket of fries on square white plate,ok
219,bcc859de-382b-44d6-937a-ba7c95d9f7ce,IMG_5715.jpg,2026-01-21T18:54,"Hand holding champagne flute with blue liquid, sugar rim, and strawberry slice on wooden slats",ok
220,bd634513-5106-4f55-a0c1-82ca4cc5104f,IMG_4218.JPG,2025-10-27T11:57,Sesame seed burger in open white box beside tipped red fries carton on black tray with Indonesia menu,ok
221,bda4e514-af60-4e58-bc5f-03bf0ef7ef38,IMG_4805.jpg,2025-12-17T14:55,Headless winged marble statue standing on stone ship prow pedestal against beige block wall,ok
222,bea2013b-8642-4673-8240-7e44105ab69b,IMG_4074.JPG,2025-10-18T13:25,Hiker in grey hoodie with yellow keychain walking on gravel path beside low stone wall,ok
223,beb0709f-c754-4d5c-9470-bc633c3adbbe,DSCF0888.JPG,2026-02-15T11:12,Rotated storefront with two orange and white ice cream cone signs above black door,ok
224,bf784f25-e6d0-4e7c-9c81-ba875e23c687,IMG_4992.jpg,2025-12-24T16:40,"Night street scene with tall illuminated drop tower, purple lit gothic monument, and equestrian statue",ok
225,bf9f645a-9e10-49ea-a49e-e716644c0667,59.jpg,2026-07-11T14:27,"Low angle view from wooden table surface showing bed with striped cover, teal wall, and hallway with hanging white jacket",ok
226,c12801ce-80e3-4c0c-adf6-8be6b16b4ad0,IMG_3536.JPG,2025-09-21T10:38,Blue and white train crossing stone arch viaduct over river with church spire,ok
227,c1570857-41be-41cc-96f5-744e209f3284,IMG_6978.jpg,2026-06-05T14:17,White chalk cliffs viewed over garden with white iris flowers and small wind turbine,ok
228,c16fb33a-c3bb-42f9-a971-d298f43ed7b9,IMG_2671.JPG,2025-08-13T11:56,"Dim sum table featuring bamboo steamer with three green buns, tripe topped with red and green chili slices, and red rice rolls beside a four-compartment sauce dish.",query_generation_error
229,c28b4e5e-1473-4e00-9832-a1b44ce263d4,IMG_2726.JPG,2025-08-13T21:00,Jazz band performing on red-lit stage beside woman in white dress and sneakers,ok
230,c485a29d-1478-486d-93ba-79232d7371d2,136.jpg,2026-07-12T21:24,"Narrow hallway with blue left wall, white right doors, dark carpet, and distant beige door",ok
231,c61663c8-02c5-4c3b-911e-b4d0353f88c5,62.jpg,2026-07-11T14:30,First-person view of hands spreading red sauce on toast next to a blue Flora butter tub and stainless steel cabinet handles,query_generation_error
232,c6816996-d3d1-415d-94a0-43c30cd17582,58.jpg,2026-07-11T14:25,Low angle wood table with white paper towel roll and distant hallway door,ok
233,c6d6a02e-c9cf-4e8b-ae20-7d05de9aa43b,IMG_6210.jpg,2026-03-28T15:03,Blue diamond tiled courtyard with three stacked wooden windows and white safety net,ok
234,c9260094-331e-4430-859c-c42c900c4a86,1.jpg,2026-07-09T18:12,Motion blurred woman in white top using laptop on yellow sofa with floral pillow,ok
235,ca421ea8-1be8-40c9-9494-ad669443cf28,IMG_3850.JPG,2025-10-05T14:42,Wooden shelf displaying rows of colorful ceramic ghost figurines against red curtain backdrop,ok
236,cad17ce5-5822-4a81-aefd-1c990542b53c,17.jpg,2026-07-10T15:59,Blue smartphone on beige sofa foreground with bloomin lovely screen and rainbow bunting in background,ok
237,caf1f3d4-baa2-4d47-a187-cbb8fbaf2090,IMG_6728.jpg,2026-04-23T16:51,White egret with long head plumes walking on mossy rocks near bubbling water,ok
238,cb1d5777-a9ab-4155-8bfe-d8acf95f4283,86.jpg,2026-07-11T15:23,First-person view of hands holding black smartphone with physical keyboard on paved path,ok
239,cce42356-c98d-45b5-91c8-6ae2335fd8f9,IMG_4098.JPG,2025-10-18T15:01,Brown and white cow with yellow ear tag urinating behind wire fence,ok
240,cea22c4d-48dd-4ab6-9e6e-2e547e3cea49,IMG_6659.jpg,2026-04-22T15:07,"Stone statue of veiled woman in profile with hands clasped near face, framed by rough tree bark on left and St. Peter's Basilica dome in background.",query_generation_error
241,cf091929-cfc8-4e42-abe8-a05f38b3b93c,IMG_5812.jpg,2026-02-14T15:41,Gothic chapel with twin towers beside white classical building viewed from river,ok
242,d004e4dd-39b1-4a12-a289-a958cdd75970,IMG_5822.jpg,2026-02-14T16:28,Peter Rabbit boat diorama with standing punter figure and red rose lying on glass,ok
243,d075f040-a468-4e2f-8be5-cc6a31b86fcd,IMG_5245.jpg,2026-01-18T12:58,Turquoise glacial river flowing over dark stepped basalt rocks with white ice patches,ok
244,d16549e1-0265-4f00-adc1-898f393b15c9,DSCF0619.JPG,2026-01-18T15:01,Wide horseshoe waterfall cascading over dark layered basalt cliffs into turbulent white water under overcast sky,query_generation_error
245,d1d5d2b7-089f-425c-a50c-d06a074b7915,IMG_6027.jpg,2026-03-16T00:47,White fluffy bunny slippers with blue eyes next to white and navy sneakers,ok
246,d1d665d1-c285-43cd-80bc-b770f379ff00,IMG_4796.jpg,2025-12-17T14:32,White marble winged horse statue rearing under glass pyramid ceiling,ok
247,d291d353-9ba9-4117-b192-a7a5fc0dc518,IMG_2674.JPG,2025-08-13T12:37,Yellow pig-shaped dumpling held by black chopsticks over white spoon and silver-rimmed plate,ok
248,d30676ee-1ccc-490e-b8d0-1d19f4487d62,IMG_4606.jpg,2025-12-16T14:02,Low angle view of winged female sculpture holding sword aloft on stone arch pillar against blue sky,query_generation_error
249,d5370587-2cf2-4ee7-a307-fb2f98d715a2,DSCF0098.JPG,2025-12-16T13:02,Low angle view of white stone relief sculpture on arch pillar featuring winged figure holding spears against blue sky,query_generation_error
250,d5e476fe-7a2a-4444-8eea-ce74c9acd496,IMG_6996.jpg,2026-06-05T16:23,White chalk cliffs curving along coast with green grass top and distant lighthouse,ok
251,da9c33d1-aa25-4591-abaa-107acfaf7d18,IMG_6698.jpg,2026-04-23T15:40,White Polizia Locale boat on canal approaching bridge with Biennale Arte banner,ok
252,dac33b53-9dbe-4d28-8072-6b3ba7c9f654,IMG_3661.JPG,2025-09-25T09:39,Star Trac treadmill console displaying E WORKOUT with black cup holder and red stop key,ok
253,dde4970f-ae07-4418-89ab-73dd0fcd2f09,IMG_3635.JPG,2025-09-23T12:05,"Buffet line featuring large tray of bone-in meat, beef stew with carrots, and server in black floral shirt using red-handled tongs.",query_generation_error
254,de425751-0dd6-40ee-b55e-26be193b1f01,IMG_4174.JPG,2025-10-23T17:59,Oval salami pizza with white cheese dollops and basil next to shrimp pasta bowl,ok
255,e03dd91f-0004-4f5e-b2a5-b2186792e0a1,IMG_7252.jpg,2026-07-09T17:05,Two smartwatches on wrist showing analog face and large digital 18 05 numbers,ok
256,e0598324-ff45-4127-9544-390bd1f39d11,KYQF0330.JPG,2025-10-26T13:29,"Seven people standing on grassy hill with brown heather, four raising hands against overcast sky",ok
257,e07a0a23-52ae-42a2-915f-c1bbd1c3606e,IOGZ6346.JPG,2025-10-26T18:44,Group selfie with woman in grey beanie and woman in brown beanie making peace signs,ok
258,e0c1e650-497b-4a2b-bc7e-6bd336d96f5a,IMG_3762.JPG,2025-09-28T18:25,"Black bowl ramen with wooden spoon, halved soft-boiled egg, and menu board background",ok
259,e0c5a6be-c740-4f4b-bf7a-4f857696336f,33.jpg,2026-07-10T17:29,Low angle view from wood table showing bed with white pillows and teal wall,ok
260,e0c61bc4-c791-4fec-9a86-e0d0407cf6b8,IMG_5397.jpg,2026-01-19T15:20,Textured pale blue ice surface scattered with irregular black melt holes,ok
261,e0cba372-7800-4acd-b85c-2742b17f8155,IMG_5467.jpg,2026-01-19T16:24,Person wearing lime green beanie viewed through thick textured blue ice block,ok
262,e11d56e1-f3da-45ad-bf69-63f1aaefe9af,IMG_5251.jpg,2026-01-18T13:51,Steaming geothermal pool with central water splash and foreground rope barrier,ok
263,e17476e9-9a1c-44e3-9c08-1fff3d0fa157,IMG_5395.jpg,2026-01-19T15:19,Blue ice surface with scattered black debris and rippled texture in upper section,ok
264,e1ee6819-a127-4055-a399-d888545100e6,IMG_5176.jpg,2026-01-10T20:09,Concert stage with large screen displaying orange silhouette and vertical Chinese text,ok
265,e3613857-bf41-46c2-b3d7-defe17690888,IMG_3467.JPG,2025-09-17T12:31,Refrigerator shelf with green tea bottle above two yellow lemon iced tea bottles next to KSF Green Tea price tag,ok
266,e3bf40e5-c5b7-4d55-91cf-11c9cb6b0df5,IMG_3602.JPG,2025-09-21T12:53,Curved paved path with black bench beside large dark reddish-brown leafed tree on green lawn,ok
267,e3e6c8dd-fd37-4d63-a40d-6f55f5de8029,IMG_7226.jpg,2026-07-07T05:57,Selfie of man with glasses and sun flare behind head among hot air balloons,ok
268,e483e43e-3fa3-438d-b60c-5bd473c84e5f,IMG_6578.jpg,2026-04-20T16:42,Man in red cap and plaid shirt standing on cobblestones before Pantheon columns,query_generation_error
269,e645a125-28de-44ec-bb37-4490d774c7a9,IMG_3636.JPG,2025-09-23T12:07,"Black compartmentalized tray with rice, braised chicken, minced meat peas, cabbage, and fish",ok
270,e902a4a5-acd0-4860-bf12-89dcb9aff713,IMG_4373.JPG,2025-11-08T18:48,"Table setting with celery chicken in plastic container, tomato eggs, glazed wings, and illustrated mug",ok
271,e91be015-888f-4fcb-a11e-85e3467d9e12,IMG_7222.jpg,2026-07-07T05:45,Large grey hot air balloon with red base floating above rocky valley landscape,ok
272,e9c0e35f-fa72-474d-af60-c9ca570d747e,IMG_E4180.JPG,2025-10-24T12:53,Fried rice with peas and egg in black pan featuring single sausage and wooden spatula,ok
273,ea850a0d-7af1-45f0-969c-8eccff02fd9c,IMG_4187.JPG,2025-10-25T16:29,White digital shelf label displaying Quechua Bag NH Arpenaz 10L Blue price £6.99,ok
274,ec884230-1eac-41e1-86a1-2957d167e388,IMG_2699.JPG,2025-08-13T18:45,Blurry highway view at sunset featuring a circular 40 speed limit sign on the left and a large glass building on the right.,query_generation_error
275,eccbd838-624a-4529-8c89-cde6915d2a96,IMG_6699.jpg,2026-04-23T16:09,Wide canal view with white motorboat bottom right and red awnings on right bank,ok
276,ed6518ac-06cf-40d1-a251-c1ed8c5d96c7,IMG_6995.jpg,2026-06-05T16:23,White chalk cliffs with green grass top and small people walking along the edge,ok
277,ede1d7b3-6890-43c7-b0ad-cc743661eeee,145.jpg,2026-07-12T21:39,First-person view of hands typing on silver laptop with blue book and purple-capped water bottle,ok
278,ee8431a3-3f7c-4484-88b2-16e790aa13e5,152.jpg,2026-07-12T21:46,"First-person view of hands typing on silver laptop on black desk mat, with glass of orange juice and purple-capped water bottle nearby",query_generation_error
279,ef9eb199-654d-4d2c-b75c-33df3141a360,IMG_4019.JPG,2025-10-17T17:47,Red tray with bucket of fried chicken and four sauce cups on printed mat,ok
280,f0645fe3-c597-4ef3-902b-fb5e124af315,IMG_3705.JPG,2025-09-28T11:01,"Rocky quarry with grassy floor, central vertical rock face, and two people sitting on rocks at far right",ok
281,f16a12fd-a852-47d1-805c-132ae57be0cb,IMG_6792.JPG,2026-04-24T15:09,"Three ornate Gothic spires topped with statues against blue sky, archway visible below left",ok
282,f17e8a3c-0f19-43c5-ac32-7dec96d4d9da,IMG_4260.JPG,2025-10-31T00:44,Opened Budweiser can with newspaper print design sitting on grey mousepad next to laptop keyboard,query_generation_error
283,f1ac6c4a-c4d0-41bb-8e08-3c5e15416190,IMG_4862.jpg,2025-12-18T13:37,Stone knight statue holding sword overhead against blue wall with red shields,ok
284,f232c23a-f963-40b6-8165-950f3df051f7,IMG_3353.JPG,2025-09-13T19:34,Airplane cabin with blue ceiling lights and seatback screen showing woman near purple portal,ok
285,f25b9b63-ddbb-4c51-8708-45ad9bd919c0,6.jpg,2026-07-09T19:08,Office cubicle desk with purple and orange 2025/26 calendar poster above a tablet playing a video showing a man in a white shirt,query_generation_error
286,f3d34dc9-d2d1-4a0f-81c7-fecca55ac5b4,IMG_7069.jpg,2026-07-04T10:59,Mosque with four minarets and golden dome finial viewed across green lawn with white fence,ok
287,f51b0a03-abb3-4640-a97e-f9fc650f0c57,IMG_3396.JPG,2025-09-14T17:33,High-angle view of cluttered bedroom with open suitcase containing red bag and white NL LOVE HOME package on floor,ok
288,f59a3018-d1a4-4db7-897d-721b0208a819,IMG_6137.jpg,2026-03-28T10:56,Hand holding square black Gaudi Barcelona stained glass souvenir against blurred city buildings and blue sky,query_generation_error
289,f61eee72-0a48-40c3-a74a-06a9182b7997,IMG_4877.jpg,2025-12-18T15:50,Ornate building facade with large Respect and Earth banners featuring crying eye art above carousel,ok
290,f691ff24-1bf3-4081-8d75-2f45c3f92f17,IMG_3347.JPG,2025-09-13T17:30,Airport tarmac view through window with red backpack on luggage cart and China Airlines plane,ok
291,f6d0b3a6-f409-47e3-8f12-dcc9a376f4b7,IMG_6296.jpg,2026-03-30T13:37,Seafood paella with two langoustines in black pan next to creamy white dish and salad,ok
292,f8f67489-63b8-453c-b096-26e6ee79c364,47.jpg,2026-07-10T22:37,Blurry pink fingers obscuring top of frame above dorm room desk and bed,ok
293,f94327c0-72f5-4fcb-bc47-930869a68014,IMG_5688.jpg,2026-01-20T21:58,Vertical pink and green aurora streaks rising through starry night sky,ok
294,fa00f405-2521-4e0b-a8c2-464424ebbd6c,IMG_7229.jpg,2026-07-07T17:48,"Wooden deck with closed navy-white umbrella, beige loungers under mesh canopy, cliffside metal stairs",ok
295,fa05a0ad-3819-4b0e-9c23-dbb506a444a0,IMG_5343.jpg,2025-12-18T19:46,Display case with rows of pink Ispahan macarons and green pistachio macarons in white trays,ok
296,fa1c3183-7188-4c4f-9fb2-cd80c5849389,IMG_6025.jpg,2026-03-15T21:20,White desk with silver laptop showing code editor and white laptop displaying software flow diagram next to Ruckus device,ok
297,fce756f5-1275-4174-ae0f-daebd93735c8,IMG_4073.JPG,2025-10-18T13:21,"Green valley with layered limestone cliffs, low stone wall, and distant hikers under overcast sky",ok
298,fd87ecea-290c-46d8-a7fa-11c534a5bae3,DSCF0158.JPG,2025-12-17T12:38,Rotated vertical photo of Louvre glass pyramid and stone facade with crowd,ok
299,ffd5216c-cf0d-48d3-abce-30972e95d146,IMG_6758.jpg,2026-04-24T13:06,Giant white brain sculpture decorated with colorful flowers on a pedestal reading YOUR BRAIN WHEN YOU BELIEVE IN YOURSELF,query_generation_error
300,ffdcc075-233d-4172-b3c7-700ba1417561,IMG_5413.jpg,2026-01-19T15:34,Narrow blue ice canyon with dark wet ground and vertical crevice,ok
